Year,Event,Player,Team,Value
1901,Complete Games,Joe McGinnity,Baltimore,39
1901,ERA,Cy Young,Boston,1.62
1901,Games,Joe McGinnity,Baltimore,48
1901,Saves,Bill Hoffer,Cleveland,3
1901,Shutouts,Clark Griffith,Chicago,5
1901,Shutouts,Cy Young,Boston,5
1901,Strikeouts,Cy Young,Boston,158
1901,Winning Percentage,Clark Griffith,Chicago,.774
1901,Wins,Cy Young,Boston,33
1902,Complete Games,Cy Young,Boston,41
1902,ERA,Ed Siever,Detroit,1.91
1902,Games,Cy Young,Boston,45
1902,Saves,Jack Powell,St. Louis,2
1902,Shutouts,Addie Joss,Cleveland,5
1902,Strikeouts,Rube Waddell,Philadelphia,210
1902,Winning Percentage,Bill Bernhard,Philadelphia,.783
1902,Wins,Cy Young,Boston,32
1903,Complete Games,Bill Donovan,Detroit,34
1903,Complete Games,Rube Waddell,Philadelphia,34
1903,Complete Games,Cy Young,Boston,34
1903,ERA,Earl Moore,Cleveland,1.74
1903,Games,Eddie Plank,Philadelphia,43
1903,Saves,Bill Dinneen,Boston,2
1903,Saves,George Mullin,Detroit,2
1903,Saves,Al Orth,Washington,2
1903,Saves,Jack Powell,St. Louis,2
1903,Saves,Cy Young,Boston,2
1903,Shutouts,Cy Young,Boston,7
1903,Strikeouts,Rube Waddell,Philadelphia,302
1903,Winning Percentage,Cy Young,Boston,.757
1903,Wins,Cy Young,Boston,28
1904,Complete Games,Jack Chesbro,New York,48
1904,ERA,Addie Joss,Cleveland,1.59
1904,Games,Jack Chesbro,New York,55
1904,Saves,Case Patten,Washington,3
1904,Shutouts,Cy Young,Boston,10
1904,Strikeouts,Rube Waddell,Philadelphia,349
1904,Winning Percentage,Jack Chesbro,New York,.774
1904,Wins,Jack Chesbro,New York,41
1905,Complete Games,Harry Howell,St. Louis,35
1905,Complete Games,George Mullin,Detroit,35
1905,Complete Games,Eddie Plank,Philadelphia,35
1905,ERA,Rube Waddell,Philadelphia,1.48
1905,Games,Rube Waddell,Philadelphia,46
1905,Saves,Jim Buchanan,St. Louis,2
1905,Shutouts,Ed Killian,Detroit,8
1905,Strikeouts,Rube Waddell,Philadelphia,287
1905,Winning Percentage,Rube Waddell,Philadelphia,.730
1905,Wins,Rube Waddell,Philadelphia,27
1906,Complete Games,Al Orth,New York,36
1906,ERA,Doc White,Chicago,1.52
1906,Games,Jack Chesbro,New York,49
1906,Saves,Chief Bender,Philadelphia,3
1906,Saves,Otto Hess,Cleveland,3
1906,Shutouts,Ed Walsh,Chicago,10
1906,Strikeouts,Rube Waddell,Philadelphia,196
1906,Winning Percentage,Eddie Plank,Philadelphia,.760
1906,Wins,Al Orth,New York,27
1907,Complete Games,Ed Walsh,Chicago,37
1907,ERA,Ed Walsh,Chicago,1.60
1907,Games,Ed Walsh,Chicago,56
1907,Saves,Bill Dinneen,Philadelphia,4
1907,Saves,Tom Hughes,Washington,4
1907,Saves,Ed Walsh,Chicago,4
1907,Shutouts,Eddie Plank,Philadelphia,8
1907,Strikeouts,Rube Waddell,Philadelphia,232
1907,Winning Percentage,Bill Donovan,Detroit,.862
1907,Wins,Addie Joss,Cleveland,27
1907,Wins,Doc White,Chicago,27
1908,Complete Games,Ed Walsh,Chicago,42
1908,ERA,Addie Joss,Cleveland,1.16
1908,Games,Ed Walsh,Chicago,66
1908,Saves,Ed Walsh,Chicago,6
1908,Shutouts,Ed Walsh,Chicago,11
1908,Strikeouts,Ed Walsh,Chicago,269
1908,Winning Percentage,Ed Walsh,Chicago,.727
1908,Wins,Ed Walsh,Chicago,40
1909,Complete Games,Frank Smith,Chicago,37
1909,ERA,Harry Krause,Philadelphia,1.39
1909,Games,Frank Smith,Chicago,51
1909,Saves,Frank Arellanes,Boston,8
1909,Shutouts,Ed Walsh,Chicago,8
1909,Strikeouts,Frank Smith,Chicago,177
1909,Winning Percentage,George Mullin,Detroit,.784
1909,Wins,George Mullin,Detroit,29
1910,Complete Games,Walter Johnson,Washington,38
1910,ERA,Ed Walsh,Chicago,1.27
