Year,Event,Player,Team,Value
1901,Base on Balls,Dummy Hoy,Chicago,86
1901,Batting Average,Nap Lajoie,Philadelphia,.426
1901,Doubles,Nap Lajoie,Philadelphia,48
1901,Hits,Nap Lajoie,Philadelphia,232
1901,Home Runs,Nap Lajoie,Philadelphia,14
1901,On Base Percentage,Nap Lajoie,Philadelphia,.463
1901,RBI,Nap Lajoie,Philadelphia,125
1901,Runs,Nap Lajoie,Philadelphia,145
1901,Slugging Average,Nap Lajoie,Philadelphia,.643
1901,Stolen Bases,Frank Isbell,Chicago,52
1901,Total Bases,Nap Lajoie,Philadelphia,350
1901,Triples,Bill Keister,Baltimore,21
1902,Base on Balls,Topsy Hartsel,Philadelphia,87
1902,Batting Average,Ed Delahanty,Washington,.376
1902,Doubles,Harry Davis,Philadelphia,43
1902,Hits,Charlie Hickman,Boston,193
1902,Home Runs,Socks Seybold,Philadelphia,16
1902,On Base Percentage,Ed Delahanty,Washington,.453
1902,RBI,Buck Freeman,Boston,121
1902,Runs,Dave Fultz,Philadelphia,109
1902,Slugging Average,Ed Delahanty,Washington,.590
1902,Stolen Bases,Topsy Hartsel,Philadelphia,47
1902,Total Bases,Charlie Hickman,Boston,288
1902,Triples,Jimmy Williams,Baltimore,21
1903,Base on Balls,Jimmy Barrett,Detroit,74
1903,Batting Average,Nap Lajoie,Cleveland,.344
1903,Doubles,Socks Seybold,Philadelphia,45
1903,Hits,Patsy Dougherty,Boston,195
1903,Home Runs,Buck Freeman,Boston,13
1903,On Base Percentage,Jimmy Barrett,Detroit,.407
1903,RBI,Buck Freeman,Boston,104
1903,Runs,Patsy Dougherty,Boston,107
1903,Slugging Average,Nap Lajoie,Cleveland,.518
1903,Stolen Bases,Harry Bay,Cleveland,45
1903,Total Bases,Buck Freeman,Boston,281
1903,Triples,Sam Crawford,Detroit,25
1904,Base on Balls,Jimmy Barrett,Detroit,79
1904,Batting Average,Nap Lajoie,Cleveland,.376
1904,Doubles,Nap Lajoie,Cleveland,49
1904,Hits,Nap Lajoie,Cleveland,211
1904,Home Runs,Harry Davis,Philadelphia,10
1904,On Base Percentage,Nap Lajoie,Cleveland,.413
1904,RBI,Nap Lajoie,Cleveland,102
1904,Runs,Patsy Dougherty,Boston,113
1904,Slugging Average,Nap Lajoie,Cleveland,.552
1904,Stolen Bases,Harry Bay,Cleveland,38
1904,Total Bases,Nap Lajoie,Cleveland,305
1904,Triples,Joe Cassidy,Washington,19
1905,Base on Balls,Topsy Hartsel,Philadelphia,121
1905,Batting Average,Elmer Flick,Cleveland,.308
1905,Doubles,Harry Davis,Philadelphia,47
1905,Hits,George Stone,St. Louis,187
1905,Home Runs,Harry Davis,Philadelphia,8
1905,On Base Percentage,Topsy Hartsel,Philadelphia,.409
1905,RBI,Harry Davis,Philadelphia,83
1905,Runs,Harry Davis,Philadelphia,93
1905,Slugging Average,Elmer Flick,Cleveland,.462
1905,Stolen Bases,Danny Hoffman,Philadelphia,46
1905,Total Bases,George Stone,St. Louis,259
1905,Triples,Elmer Flick,Cleveland,18
1906,Base on Balls,Topsy Hartsel,Philadelphia,88
